,default_0,default_time_0,min_weight_0,min_weight_time_0,max_value_0,max_value_time_0,max_ratio_0,max_ratio_time_0,hyperheuristic_0,hyperheuristic_time_0,hyperheuristic_1,hyperheuristic_time_1,hyperheuristic_2,hyperheuristic_time_2,hyperheuristic_3,hyperheuristic_time_3,hyperheuristic_4,hyperheuristic_time_4,hyperheuristic_5,hyperheuristic_time_5,hyperheuristic_6,hyperheuristic_time_6,hyperheuristic_7,hyperheuristic_time_7,hyperheuristic_8,hyperheuristic_time_8,hyperheuristic_9,hyperheuristic_time_9
348,10370.0,0.0024795999997877516,10019.0,0.003345699999044882,10470.0,0.0017083999991882592,10370.0,0.0028263999993214384,10159.0,5.704693799998495,10019.0,4.047695499999463,10019.0,4.065477899999678,10019.0,3.545651000000362,10019.0,4.151758200001495,10019.0,3.568765900001381,10019.0,3.993797600000107,10019.0,5.711524799999097,10019.0,3.409123499999623,10019.0,3.8406727999990835
349,11617.0,0.002551100000346196,11160.0,0.003251300000556512,11694.0,0.0019105999999737833,11617.0,0.0029578000012406847,11300.0,4.788677900000039,11160.0,3.971614000000045,11160.0,3.162301300000763,11300.0,4.321189000000231,11160.0,3.6578981000002386,11686.0,10.433430400000361,11160.0,3.5138468999994075,11160.0,4.15552629999911,11160.0,3.870103700000982,11160.0,3.8112285999995947
350,17090.0,0.0019260999997641193,18239.0,0.0031531999993603677,20739.0,0.00267840000014985,20995.0,0.003027100001418148,18657.0,5.725905299999795,19191.0,6.238186000000496,18239.0,3.2914536999996926,19191.0,4.16090819999954,19302.0,11.484776400000555,18239.0,3.2443966000009823,18535.0,3.5923118999999133,19191.0,4.281961599999704,18239.0,3.683444399999644,18239.0,3.221759199999724
351,13244.0,0.002366899998378358,15612.0,0.003213800000594347,19476.0,0.00293489999967278,19836.0,0.003193000000464963,17292.0,7.417415200001415,17292.0,8.780021500000657,16555.0,6.735702500000116,17997.0,6.846064199999091,17292.0,5.551426699999865,17292.0,6.757395700000416,17292.0,8.896101400001498,18170.0,7.721853900000497,17292.0,4.965890499999659,17292.0,6.050886299999547
352,12067.0,0.002372099999774946,16783.0,0.0032077000014396617,18289.0,0.002507799999875715,20553.0,0.003207499999916763,18185.0,7.651646500000425,17754.0,5.346193499999572,18591.0,4.5711863999986235,17754.0,3.710078700001759,19022.0,9.03845790000014,16783.0,3.6715256000006775,17491.0,5.262046300000293,18591.0,5.78123990000131,16783.0,3.2288714999995136,17754.0,3.726762399999643
353,10875.0,0.002403599999524886,17943.0,0.0032855999997991603,17415.0,0.002511200000299141,19666.0,0.0032908000011957483,17943.0,4.23236899999938,17943.0,3.3701108999994176,17943.0,3.7141537999996217,17943.0,3.2513319999998203,17943.0,3.4929239000011876,17943.0,3.664210200000525,17943.0,3.8260911999987,17943.0,3.4063253000003897,17943.0,3.192333499999222,17943.0,3.225967700000183
354,14182.0,0.0024967000008473406,18296.0,0.0033463999989180593,20777.0,0.0028556999986903975,20960.0,0.0032317999994120328,2474.0,2.4751980000000913,19144.0,5.870378899999196,19075.0,4.980217599999378,19075.0,4.971129899999141,19075.0,5.335916600000928,19075.0,4.671036100000492,19075.0,5.445544599999266,19075.0,5.374571500000457,19075.0,4.101683700000649,19075.0,4.846201000000292
355,13287.0,0.0026486999995540828,15536.0,0.003367699999216711,17039.0,0.0022016000002622604,19723.0,0.003215700000509969,16517.0,7.53641400000015,16517.0,6.0464132000015525,16517.0,4.154103799999575,16517.0,6.173079099999086,17952.0,18.742089600000327,16517.0,4.87477840000065,16359.0,10.480379300001005,16517.0,4.968220299999302,16604.0,5.688485499998933,16517.0,4.797808100000111
356,15554.0,0.0029133000007277587,18430.0,0.003349000000525848,18505.0,0.002598799999759649,21254.0,0.003230199999961769,2939.0,2.84564169999976,18430.0,3.9961161999999604,19090.0,3.9419710999991366,19362.0,4.77013259999876,20066.0,13.498950999999579,19362.0,4.349674700000833,19362.0,7.400345699999889,19362.0,4.459346100000403,19362.0,4.45272230000046,19362.0,3.637641799999983
357,9334.0,0.0018665000006876653,14709.0,0.00323000000025786,16611.0,0.0027738999997382052,16578.0,0.0031684999994467944,14709.0,3.788394299999709,14709.0,3.355499100000088,14709.0,3.8802309000002424,14709.0,3.194705399999293,14709.0,3.9112113999999565,14709.0,3.9593912000000273,14709.0,3.9205366000005597,14709.0,3.218973700000788,14709.0,3.480576199999632,14709.0,3.364145000001372
358,11001.0,0.002426900000500609,16740.0,0.003319700001156889,18542.0,0.0027442999999038875,19392.0,0.003213399999367539,16740.0,5.191839699999036,16740.0,3.97997740000028,16773.0,4.943180799999027,16740.0,3.5910466000004817,16740.0,4.56781029999911,16740.0,3.4552235000010114,16740.0,3.7320187000004807,16740.0,4.118522599999778,16740.0,3.301489400000719,16740.0,3.5778090999992855
359,11921.0,0.0017687999988993397,14957.0,0.0032762999999249587,17725.0,0.002781900000627502,18273.0,0.003330600000481354,17082.0,7.983347600000343,14957.0,4.10575720000088,14957.0,3.723993999999948,17859.0,9.71037680000154,14957.0,4.0642165999997815,17082.0,6.808562600001096,17082.0,9.119717900000978,14957.0,3.7085368999996717,17082.0,6.98774240000057,14957.0,3.468670000000202
360,15293.0,0.002545800000007148,16464.0,0.003223699999580276,19719.0,0.0027956999983871356,20167.0,0.0031047000011312775,16834.0,6.830701900000349,16464.0,3.723103700000138,17369.0,4.8534218999993755,16834.0,4.36313710000104,16464.0,4.3844489000002795,16464.0,3.4292425000003277,16464.0,3.385197800000242,16464.0,3.6438109000009717,16464.0,3.7832562000003236,16464.0,3.28615180000088
361,13101.0,0.0018660000005183974,18071.0,0.0033428999995521735,18897.0,0.0026520000010350486,20263.0,0.0033834999994724058,18827.0,7.630435900000521,18827.0,5.891087400001197,18827.0,5.104101500000979,18071.0,3.9282195000014326,18827.0,7.484875300000567,18071.0,4.1593155999999,18827.0,5.511372399998436,18827.0,5.820331599999918,18071.0,4.137468999999328,18071.0,3.518554200001745
362,12747.0,0.002560500000981847,15982.0,0.0033174000000144588,17645.0,0.0025912000000971602,18751.0,0.0030850000002828892,15982.0,5.301504000000932,15982.0,4.3664596999988134,15982.0,3.4943232000005082,15982.0,3.310934000000998,15982.0,4.695068800001536,15982.0,3.9676941000016086,16619.0,5.344942300000184,15982.0,3.638724299999012,15982.0,3.4235986999992747,15982.0,3.349594299999808
